Individual,substrate,H1,H2,H3,H4,H5,H6,H7,H8,S1,S2,S3,S4,S5,S6,S7,S8,B1,B2,B3,B4,B5,B6,B7,B8
LDA_W_58,White,42.962,56.941,0.092,0.004,0.001,0,0,0,0.461,1.371,6.801,36.966,47.041,6.838,0.517,0.005,0.485,0,0.009,0.562,5.794,40.714,48.804,3.631
LDA_W_59,White,27.715,71.756,0.151,0.103,0.044,0.074,0.049,0.109,0.131,4.804,21.598,32.001,26.265,12.85,2.229,0.122,0.859,2.582,5.92,10.214,13.847,23.89,28.689,13.999
LDA_W_60,White,30.022,69.568,0.1,0.027,0.081,0.075,0.031,0.097,0.897,4.338,22.255,49.893,19.922,2.51,0.179,0.006,0.361,0.42,5.746,20.108,32.17,28.47,10.867,1.858
LDA_W_64,White,11.187,88.658,0.112,0.009,0.003,0.008,0.005,0.019,0.316,3.738,38.749,53.564,3.629,0.005,0,0,0,3.897,13.433,42.745,32.621,6.892,0.411,0
LDA_W_65,White,29.286,70.705,0.007,0,0,0,0.001,0.001,0.001,0.125,8.026,51.79,32.549,6.816,0.662,0.031,0.008,0.399,3.113,7.745,24.856,47.028,16.029,0.822
LDA_W_66,White,30.359,69.314,0.09,0.013,0.002,0.027,0.067,0.127,0.382,5.941,20.327,33.839,30.547,8.344,0.598,0.023,0.275,2.699,12.738,19.156,21.544,18.94,15.949,8.699
LDA_W_67,White,38.584,61.361,0.029,0.002,0,0.008,0.002,0.014,0.264,2.192,7.22,40.684,44.205,5.307,0.126,0.001,0.002,0.507,3.582,13.714,41.94,33.201,6.874,0.18
LDA_W_68,White,39.703,60.297,0,0,0,0,0,0,0.001,0.14,7.234,44.354,39.637,7.989,0.618,0.028,0,0.43,9.738,27.462,43.4,17.287,1.616,0.067
LDA_W_69,White,46.554,53.165,0.096,0.041,0.008,0.045,0.021,0.069,0.287,1.918,7.733,21.882,35.652,25.633,6.446,0.449,0.706,4.252,10.428,16.787,23.294,22.379,15.065,7.09
LDA_W_70,White,63.287,36.191,0.292,0.088,0.073,0.016,0.026,0.028,0.732,4.714,12.781,26.576,32.927,17.033,4.781,0.455,0.474,2.38,11.807,22.07,27.906,17.833,10.313,7.216
