"matrix","symmetry","mnPoll"
"M_PL_061_28","zygomorphic",4
"M_PL_061_29","actinomorphic",4.42857142857143
"M_PL_061_29","zygomorphic",8
"M_PL_061_32","actinomorphic",5
"M_PL_061_32","zygomorphic",3
"M_PL_063","actinomorphic",3.44117647058824
"M_PL_063","zygomorphic",2.65
"M_PL_064","actinomorphic",1.66666666666667
"M_PL_064","zygomorphic",2.75
"M_PL_065","actinomorphic",2.22222222222222
"M_PL_065","zygomorphic",1.33333333333333
"M_PL_066","actinomorphic",3.5
"M_PL_066","zygomorphic",3.15384615384615
"M_PL_067","actinomorphic",1.875
"M_PL_067","zygomorphic",2.16666666666667
"M_PL_068","actinomorphic",2.62962962962963
"M_PL_068","zygomorphic",3
"M_PL_069_01","actinomorphic",1.83333333333333
"M_PL_069_01","zygomorphic",1.45454545454545
"M_PL_069_02","actinomorphic",1.75
"M_PL_069_02","zygomorphic",1.4
"M_PL_069_03","actinomorphic",1.75
"M_PL_069_03","zygomorphic",2.5
"M_PL_070","actinomorphic",5
"M_PL_070","zygomorphic",5.14285714285714
"M_PL_071","actinomorphic",1.96969696969697
"M_PL_071","zygomorphic",2.18181818181818
"M_PL_072_01","actinomorphic",4.86842105263158
"M_PL_072_01","zygomorphic",3
"M_PL_072_02","actinomorphic",5.2
"M_PL_072_02","zygomorphic",5
"M_PL_072_03","actinomorphic",6.77142857142857
"M_PL_072_03","zygomorphic",1.33333333333333
"M_PL_072_04","actinomorphic",8.26315789473684
"M_PL_072_04","zygomorphic",5.83333333333333
"M_PL_072_05","actinomorphic",8.25
"M_PL_072_05","zygomorphic",6
"Robertson-1928","actinomorphic",71.9886685552408
"Robertson-1928","zygomorphic",40.5656565656566
"kaehler_et_al_2005","actinomorphic",2
"kaehler_et_al_2005","zygomorphic",2.8
"santos-et-al-2010","actinomorphic",3.38461538461538
"santos-et-al-2010","zygomorphic",5.125
"varassin_sazima_2012","actinomorphic",3.9375
"varassin_sazima_2012","zygomorphic",5.5
