"Sample_ID","Plant_ID","Flower_ID","Treatment","Flower_Age","Buzz_number","Sex","Inflorescence","Date","Species","Accession","pollen_rem_a","pollen_rem_b","pollen_rem_c","pollen_rem_d","pollen_rem_est","newflowerid"
"c030","F1-sys-3-1","2DA","Free",2,1,"hermaphrodite",1,"24/05/2021","S. sisymbriifolium","F1-sys-3",14,20,13,15,310,"F1-sys-3-1.2DA.24/05/2021"
"c031","F1-sys-3-3","2DA","Free",2,1,"hermaphrodite",1,"24/05/2021","S. sisymbriifolium","F1-sys-3",13,18,17,17,325,"F1-sys-3-3.2DA.24/05/2021"
"c032","1180M-14","2DA","Joined",2,1,"staminate",1,"24/05/2021","S. sisymbriifolium","1180M",135,184,172,139,3150,"1180M-14.2DA.24/05/2021"
"c033","1180M-14","2DA","Free",2,2,"staminate",1,"24/05/2021","S. sisymbriifolium","1180M",105,105,81,98,1945,"1180M-14.2DA.24/05/2021"
"c034","F1-sys-3-1","2DA","Joined",2,2,"hermaphrodite",1,"24/05/2021","S. sisymbriifolium","F1-sys-3",11,5,10,9,175,"F1-sys-3-1.2DA.24/05/2021"
"c035","F1-sys-3-2","2DA","Joined",2,1,"hermaphrodite",1,"24/05/2021","S. sisymbriifolium","F1-sys-3",566,572,592,559,11445,"F1-sys-3-2.2DA.24/05/2021"
"c036","F1-sys-3-2","2DA","Free",2,2,"hermaphrodite",1,"24/05/2021","S. sisymbriifolium","F1-sys-3",91,103,104,82,1900,"F1-sys-3-2.2DA.24/05/2021"
"c037","1180M-12","2DA","Joined",2,2,"hermaphrodite",1,"24/05/2021","S. sisymbriifolium","1180M",3042,2920,2723,2761,57230,"1180M-12.2DA.24/05/2021"
"c038","F1-sys-3-3","2DA","Joined",2,2,"hermaphrodite",1,"24/05/2021","S. sisymbriifolium","F1-sys-3",324,360,257,259,6000,"F1-sys-3-3.2DA.24/05/2021"
"c039","1180M-12","2DA","Free",2,1,"hermaphrodite",1,"25/05/2021","S. sisymbriifolium","1180M",115,117,118,145,2475,"1180M-12.2DA.25/05/2021"
