"web","plant","tip_name","symmetry","PC1","PC2","PC3","PC4","n.poll","n.shared","mn.n.shared","md.n.shared","n.shared.a","n.shared.z","mn.n.shared.a","mn.n.shared.z","md.n.shared.a","md.n.shared.z","Latitude","lat.x","lat.sc","pc1.sc","pc2.sc","rel.mn.n.shared","rel.mn.n.shared.a","rel.mn.n.shared.z"
"M_PL_001","Sisyrinchium arenarium","Sisyrinchium_arenarium","Actinomorphic",70.1475399268857,34.3040136345752,-0.78041227550917,-8.37964316712116,8,4,0.530120481927711,0,4,2,0.5,0.631578947368421,0,0,-33.283334,5.76917099763909,0.356092789864302,2.24921012146399,1.46864539697837,0.0662650602409639,0.0625,0.0789473684210526
"M_PL_001","Chuquiraga oppositifolia","Chuquiraga_oppositifolia","Actinomorphic",-31.3319798278361,16.9307748974794,-22.5185693541445,-1.23292525621578,7,7,0.759036144578313,1,6,3,0.78125,0.684210526315789,1,0,-33.283334,5.76917099763909,0.356092789864302,-1.00462833376234,0.724851175881013,0.108433734939759,0.111607142857143,0.0977443609022556
"M_PL_001","Scypanthus elegans","Scyphanthus_elegans","Actinomorphic",-4.14098064052676,1.72317786567285,2.48440480008887,5.15441296421655,7,6,0.626506024096386,0,6,4,0.53125,0.947368421052632,0,0,-33.283334,5.76917099763909,0.356092789864302,-0.132776367912076,0.0737737941558158,0.089500860585198,0.0758928571428571,0.135338345864662
"M_PL_001","Senecio francisci","Senecio_francisci","Actinomorphic",-33.5927351895814,18.2095794647601,-25.8786235005875,-1.70625536669384,7,6,0.457831325301205,0,6,1,0.515625,0.263157894736842,0,0,-33.283334,5.76917099763909,0.356092789864302,-1.07711717438443,0.779600175848724,0.0654044750430293,0.0736607142857143,0.037593984962406
"M_PL_001","Verbena scoparia","Verbena_scoparia","Actinomorphic",-30.4703609448476,14.8275483456405,25.8623757001084,-3.77975616890531,7,6,0.63855421686747,0,6,1,0.703125,0.421052631578947,1,0,-33.283334,5.76917099763909,0.356092789864302,-0.977001393252639,0.634806494023506,0.0912220309810672,0.100446428571429,0.0601503759398496
"M_PL_001","Adesmia aconcaguensis","Adesmia_aconcaguensis","Zygomorphic",8.57582099402813,-38.2039820449326,-2.29621343397506,-23.4002100812036,6,5,0.783132530120482,1,4,2,0.892307692307692,0.388888888888889,1,0,-33.283334,5.76917099763909,0.356092789864302,0.2749750511527,-1.63561334175728,0.130522088353414,0.148717948717949,0.0648148148148148
"M_PL_001","Berberis empetrifolia","Berberis_empetrifolia","Actinomorphic",41.7881388795744,11.3040008515375,0.563668188306026,25.8152903469385,6,6,0.72289156626506,0,6,1,0.828125,0.368421052631579,1,0,-33.283334,5.76917099763909,0.356092789864302,1.33989452834764,0.483954122537934,0.120481927710843,0.138020833333333,0.0614035087719298
"M_PL_001","Calandrinia uspallatensis","Calandrinia_uspallatensis","Actinomorphic",1.83913906330855,-4.65221311162614,2.63016874611776,14.4393429625166,6,6,0.987951807228916,1,5,2,1.0625,0.736842105263158,1,0,-33.283334,5.76917099763909,0.356092789864302,0.0589701392277614,-0.199173526600564,0.164658634538153,0.177083333333333,0.12280701754386
"M_PL_001","Cerastium arvense","Cerastium_arvense","Actinomorphic",1.47220427499053,-4.80609980463368,2.71894569528573,15.0819854175728,6,4,0.710843373493976,1,4,1,0.828125,0.315789473684211,1,0,-33.283334,5.76917099763909,0.356092789864302,0.0472047453071427,-0.205761822237024,0.118473895582329,0.138020833333333,0.0526315789473685
"M_PL_001","Haplopappus sericeus","Haplopappus_sericeus","Actinomorphic",-33.6663008166467,18.251368519996,-25.9889559663101,-1.72176208608517,6,6,0.843373493975904,1,6,2,0.90625,0.631578947368421,1,0,-33.283334,5.76917099763909,0.356092789864302,-1.07947598202273,0.781389275639496,0.140562248995984,0.151041666666667,0.105263157894737
"M_PL_001","Mustisia sinuata","Mutisia_sinuata","Actinomorphic",-32.3848950222706,17.524551018657,-24.0727313276687,-1.45223396447458,6,5,0.867469879518072,1,5,3,0.890625,0.789473684210526,1,0,-33.283334,5.76917099763909,0.356092789864302,-1.03838899756942,0.750272299382556,0.144578313253012,0.1484375,0.131578947368421
