plant,matrix,symmetry,N.poll
Phacelia secunda,M_PL_001,actinomorphic,25
Senecio bustillosianus,M_PL_001,actinomorphic,22
Calandrinia affinis,M_PL_001,actinomorphic,13
Senecio erucaeformis,M_PL_001,actinomorphic,13
Chaetanthera euphrasioides,M_PL_001,actinomorphic,10
Mulinum spinosum,M_PL_001,actinomorphic,8
Sisyrinchium arenarium,M_PL_001,actinomorphic,8
Chuquiraga oppositifolia,M_PL_001,actinomorphic,7
Scypanthus elegans,M_PL_001,actinomorphic,7
Senecio francisci,M_PL_001,actinomorphic,7
Verbena scoparia,M_PL_001,actinomorphic,7
Berberis empetrifolia,M_PL_001,actinomorphic,6
Calandrinia uspallatensis,M_PL_001,actinomorphic,6
Cerastium arvense,M_PL_001,actinomorphic,6
Haplopappus sericeus,M_PL_001,actinomorphic,6
Hypochoeris sp1 M_PL_001,M_PL_001,actinomorphic,6
Mustisia sinuata,M_PL_001,actinomorphic,6
Alstroemeria pallida,M_PL_001,actinomorphic,5
Euphorbia portulacoides,M_PL_001,actinomorphic,5
Madia sativa,M_PL_001,actinomorphic,5
Nassauvia heterophylla,M_PL_001,actinomorphic,5
Perezia carthamoides,M_PL_001,actinomorphic,5
Sisyrinchium junceum,M_PL_001,actinomorphic,5
Loasa heterophylla,M_PL_001,actinomorphic,4
Quinchamalium chilensis,M_PL_001,actinomorphic,4
Sanicula graveolens,M_PL_001,actinomorphic,4
Sisyrinchium philippii,M_PL_001,actinomorphic,4
Bowlesia tropaeolifolia,M_PL_001,actinomorphic,3
Chaetanthera microphylla,M_PL_001,actinomorphic,3
Haplopappus chysanthemifolius,M_PL_001,actinomorphic,3
Leucocoryne pauciflora,M_PL_001,actinomorphic,3
Mustisia acerosa,M_PL_001,actinomorphic,3
Mustisia subulata,M_PL_001,actinomorphic,3
Oxalis cinerea,M_PL_001,actinomorphic,3
Oxalis geminata,M_PL_001,actinomorphic,3
Oxalis sp1 M_PL_001,M_PL_001,actinomorphic,3
Schizanthus grahamii,M_PL_001,actinomorphic,3
Senecio lithostaurus,M_PL_001,actinomorphic,3
Valeriana gracileps,M_PL_001,actinomorphic,3
Asteriscium aemocarpon,M_PL_001,actinomorphic,2
Berberis montana,M_PL_001,actinomorphic,2
Erodium cicutarium,M_PL_001,actinomorphic,2
Leuceria landbeckii,M_PL_001,actinomorphic,2
Nardophyllum lanatum,M_PL_001,actinomorphic,2
Rhodophiala montana,M_PL_001,actinomorphic,2
Trichocereus chiloensis,M_PL_001,actinomorphic,2
Viviania marifolia,M_PL_001,actinomorphic,2
Acaena pinn,M_PL_001,actinomorphic,1
Barneoudia chilensis,M_PL_001,actinomorphic,1
Cardamine nivalis,M_PL_001,actinomorphic,1
Clarkia tenella,M_PL_001,actinomorphic,1
Collomia biflora,M_PL_001,actinomorphic,1
Cynoglossum sp1 M_PL_001,M_PL_001,actinomorphic,1
Hippeastrum uni,M_PL_001,actinomorphic,1
Lepidium suffruticosum,M_PL_001,actinomorphic,1
Leucocoryne ixioides,M_PL_001,actinomorphic,1
Loasa sigmoidea,M_PL_001,actinomorphic,1
Malesherbia linearifolius,M_PL_001,actinomorphic,1
Nothoscordum andinum,M_PL_001,actinomorphic,1
Oenothera acaulis,M_PL_001,actinomorphic,1
Salpiglossus sp1 M_PL_001,M_PL_001,actinomorphic,1
Solanum tomatillo,M_PL_001,actinomorphic,1
Solenomelus sisyrinchium,M_PL_001,actinomorphic,1
Tetraglochin alatum,M_PL_001,actinomorphic,1
Tristagma sessile,M_PL_001,actinomorphic,1
Stachys albi,M_PL_001,zygomorphic,14
Adesmia conferta,M_PL_001,zygomorphic,13
Astragalus curvicaulis,M_PL_001,zygomorphic,10
Adesmia radicifolia,M_PL_001,zygomorphic,9
Adesmia aconcaguensis,M_PL_001,zygomorphic,6
Adesmia brachy,M_PL_001,zygomorphic,5
Astragalus sp1 M_PL_001,M_PL_001,zygomorphic,5
Anarthrophyllum cumingii,M_PL_001,zygomorphic,4
Adesmia exilis,M_PL_001,zygomorphic,3
Calceolaria montana,M_PL_001,zygomorphic,3
Tropaeolum sessilifolium,M_PL_001,zygomorphic,2
Adesmia montana,M_PL_001,zygomorphic,1
Calceolaria arac,M_PL_001,zygomorphic,1
Calceolaria biflora,M_PL_001,zygomorphic,1
Calceolaria indet,M_PL_001,zygomorphic,1
Lathyrus subandinus,M_PL_001,zygomorphic,1
Lupinus microcarpus,M_PL_001,zygomorphic,1
Tropaeolum polyph,M_PL_001,zygomorphic,1
Tropaeolum tricolor,M_PL_001,zygomorphic,1
Senecio erucaeformis,M_PL_002,actinomorphic,14
Calandrinia affinis,M_PL_002,actinomorphic,13
Oxalis compacta,M_PL_002,actinomorphic,12
Senecio sp1 M_PL_002,M_PL_002,actinomorphic,11
Cerastium arvense,M_PL_002,actinomorphic,10
Chaetanthera euphrasioides,M_PL_002,actinomorphic,10
Senecio bustillosianus,M_PL_002,actinomorphic,10
Chuquiraga oppositifolia,M_PL_002,actinomorphic,6
Discaria nana,M_PL_002,actinomorphic,6
Laretia acaulis,M_PL_002,actinomorphic,6
Senecio francisci,M_PL_002,actinomorphic,6
Azorella monantha,M_PL_002,actinomorphic,5
Euphorbia portulacoides,M_PL_002,actinomorphic,5
Loasa caespitosa,M_PL_002,actinomorphic,5
Nassauvia heterophylla,M_PL_002,actinomorphic,5
Berberis empetrifolia,M_PL_002,actinomorphic,4
Nassauvia axillaris,M_PL_002,actinomorphic,4
Sanicula graveolens,M_PL_002,actinomorphic,4
Azorella bolacina,M_PL_002,actinomorphic,3
Chaetanthera pusilla,M_PL_002,actinomorphic,3
Oxalis geminata,M_PL_002,actinomorphic,3
Calandrinia sericea,M_PL_002,actinomorphic,2
Cerastium montioides,M_PL_002,actinomorphic,2
Mutisia sinuata,M_PL_002,actinomorphic,2
Oxalis cinerea,M_PL_002,actinomorphic,2
Ranunculus peduncularis,M_PL_002,actinomorphic,2
Stenodraba stenophylla,M_PL_002,actinomorphic,2
Werneria pygmaea,M_PL_002,actinomorphic,2
Acaena pinnatifida,M_PL_002,actinomorphic,1
Calandrinia dianthoides,M_PL_002,actinomorphic,1
Cardamine nivalis,M_PL_002,actinomorphic,1
Chaetanthera apiculata,M_PL_002,actinomorphic,1
Erigeron andicola,M_PL_002,actinomorphic,1
Nassauvia pungens,M_PL_002,actinomorphic,1
Nothoscordum andinum,M_PL_002,actinomorphic,1
Tristagma bivalve,M_PL_002,actinomorphic,1
Astragalus curvicaulis,M_PL_002,zygomorphic,10
Anarthrophyllum cumingii,M_PL_002,zygomorphic,5
Anarthrophyllum gayanum,M_PL_002,zygomorphic,5
Tropaeolum polyph,M_PL_002,zygomorphic,5
Calceolaria biflora,M_PL_002,zygomorphic,2
Calceolaria arachnoides,M_PL_002,zygomorphic,1
Viola philippii,M_PL_002,zygomorphic,1
Oxalis compacta,M_PL_003,actinomorphic,7
Phacelia secunda,M_PL_003,actinomorphic,6
Azorella madreporica,M_PL_003,actinomorphic,5
Draba tenuis,M_PL_003,actinomorphic,4
Laretia acaulis,M_PL_003,actinomorphic,4
Nassauvia lagascae,M_PL_003,actinomorphic,4
Nototriche compacta,M_PL_003,actinomorphic,4
Caiophora coronata,M_PL_003,actinomorphic,3
Draba gilliesii,M_PL_003,actinomorphic,3
Junellia uniflora,M_PL_003,actinomorphic,3
Oreopolus glacialis,M_PL_003,actinomorphic,3
Chaetanthera lycopodioides,M_PL_003,actinomorphic,2
Loasa caespitosa,M_PL_003,actinomorphic,2
Nassauvia pungens,M_PL_003,actinomorphic,2
Acaena pinnatifida,M_PL_003,actinomorphic,1
Calandrinia affinis,M_PL_003,actinomorphic,1
Calandrinia caespitosa,M_PL_003,actinomorphic,1
Calandrinia occulta,M_PL_003,actinomorphic,1
Calandrinia picta,M_PL_003,actinomorphic,1
Calandrinia sericea,M_PL_003,actinomorphic,1
Cardamine nivalis,M_PL_003,actinomorphic,1
Chaetanthera flabellata,M_PL_003,actinomorphic,1
Erigeron andicola,M_PL_003,actinomorphic,1
Leuceria salina,M_PL_003,actinomorphic,1
Nassauvia pinnigera,M_PL_003,actinomorphic,1
Oxalis sp1 M_PL_003,M_PL_003,actinomorphic,1
Pozoa coriacea,M_PL_003,actinomorphic,1
Ranunculus peduncularis,M_PL_003,actinomorphic,1
Senecio francisci,M_PL_003,actinomorphic,1
Valeriana radicalis,M_PL_003,actinomorphic,1
Tropaeolum polyphyllum,M_PL_003,zygomorphic,5
Adesmia capitellata,M_PL_003,zygomorphic,2
Adesmia glomerula,M_PL_003,zygomorphic,2
Viola atropurpurea,M_PL_003,zygomorphic,2
Viola montagnei,M_PL_003,zygomorphic,1
Viola philippii,M_PL_003,zygomorphic,1
Cornus canadensis,M_PL_004,actinomorphic,65
Maianthemum canadense,M_PL_004,actinomorphic,26
Oxalis montana,M_PL_004,actinomorphic,6
Chimaphila umbellata,M_PL_004,actinomorphic,3
Aralia nudicaulis,M_PL_004,actinomorphic,17
Linnaea borealis,M_PL_004,actinomorphic,21
Clintonia borealis,M_PL_004,actinomorphic,15
Pyrola secunda,M_PL_004,actinomorphic,4
Trillium undulatum,M_PL_004,actinomorphic,4
Trientalis borealis,M_PL_004,actinomorphic,3
Medeola virginiana,M_PL_004,actinomorphic,1
Cypripedium acaule,M_PL_004,zygomorphic,2
Rubus deliciosus,M_PL_005,actinomorphic,62
Geranium caespitosum,M_PL_005,actinomorphic,59
Rosa acicularis,M_PL_005,actinomorphic,51
Chamaenerium angustifolium,M_PL_005,actinomorphic,47
Prunus demissa,M_PL_005,actinomorphic,39
Mertensia sibirica,M_PL_005,actinomorphic,29
Carduus hookerianus,M_PL_005,actinomorphic,28
Rubus strigosus,M_PL_005,actinomorphic,28
Erigeron macranthus,M_PL_005,actinomorphic,22
Opulaster opulifolius,M_PL_005,actinomorphic,18
Holodiscus dumosus,M_PL_005,actinomorphic,17
Solidago missouriensis,M_PL_005,actinomorphic,15
Frasera speciosa,M_PL_005,actinomorphic,14
Stanleya pinnatifida,M_PL_005,actinomorphic,14
Geranium richardsoni,M_PL_005,actinomorphic,13
Potentilla pulcherrima,M_PL_005,actinomorphic,13
Delphinium scopulorum,M_PL_005,actinomorphic,11
Jamesia americana,M_PL_005,actinomorphic,11
Mertensia pratensis,M_PL_005,actinomorphic,11
Sedum stenopetalum,M_PL_005,actinomorphic,10
Calochortus gunnisoni,M_PL_005,actinomorphic,9
Rydbergia grandilfora,M_PL_005,actinomorphic,9
Achillea millefolium,M_PL_005,actinomorphic,7
Aconitum columbianum,M_PL_005,actinomorphic,7
Asclepias halli,M_PL_005,actinomorphic,7
Campanula rotundifolia,M_PL_005,actinomorphic,7
Heracleum lanatum,M_PL_005,actinomorphic,7
Petalostemon candidus,M_PL_005,actinomorphic,7
Dasyphora fruticosa,M_PL_005,actinomorphic,6
Prunus virginiana,M_PL_005,actinomorphic,6
Tradescantia virginiana,M_PL_005,actinomorphic,6
Gentiana parryi,M_PL_005,actinomorphic,5
Iris missouriensis,M_PL_005,actinomorphic,5
Apocynum androsaemifolium,M_PL_005,actinomorphic,4
Aquilegia coerulea,M_PL_005,actinomorphic,4
Dodecatheon meadia,M_PL_005,actinomorphic,4
Mentzelia multiflora,M_PL_005,actinomorphic,4
Potentilla arguta,M_PL_005,actinomorphic,4
Potentilla gracilis,M_PL_005,actinomorphic,4
Taraxacum officinale,M_PL_005,actinomorphic,4
Allium recurvatum,M_PL_005,actinomorphic,3
Asclepias speciosa,M_PL_005,actinomorphic,3
Chrysopsis villosa,M_PL_005,actinomorphic,3
Drymocallis fissa,M_PL_005,actinomorphic,3
Fragaria vesca,M_PL_005,actinomorphic,3
Helianthus petiolaris,M_PL_005,actinomorphic,3
Onagra biennis,M_PL_005,actinomorphic,3
Pachylophus caespitosus,M_PL_005,actinomorphic,3
Polygonum bistorta,M_PL_005,actinomorphic,3
Sieversia ciliata,M_PL_005,actinomorphic,3
Thalictrum fendleri,M_PL_005,actinomorphic,3
Arctostaphylus uva-ursi,M_PL_005,actinomorphic,2
Aster foliaceus,M_PL_005,actinomorphic,2
Caltha leptosepala,M_PL_005,actinomorphic,2
Cleome serrulata,M_PL_005,actinomorphic,2
Erigeron uniflorus,M_PL_005,actinomorphic,2
Galium boreale,M_PL_005,actinomorphic,2
Gilia aggregata,M_PL_005,actinomorphic,2
Malvastrum coccineum,M_PL_005,actinomorphic,2
Physaria didymocarpa,M_PL_005,actinomorphic,2
Valeriana edulis,M_PL_005,actinomorphic,2
Aquilegia brevistyla,M_PL_005,actinomorphic,1
Aragalus lamberti,M_PL_005,actinomorphic,1
Clementsia rhodantha,M_PL_005,actinomorphic,1
Draba aurea,M_PL_005,actinomorphic,1
Erysimum asperum,M_PL_005,actinomorphic,1
Geum rivale,M_PL_005,actinomorphic,1
Lappula floribunda,M_PL_005,actinomorphic,1
Lithospermum canescens,M_PL_005,actinomorphic,1
Oreochrysum parryi,M_PL_005,actinomorphic,1
Phacelia heterophylla,M_PL_005,actinomorphic,1
Prunus pennsylvanica,M_PL_005,actinomorphic,1
Sambucus racemosa,M_PL_005,actinomorphic,1
Sieversia turbinata,M_PL_005,actinomorphic,1
Silene acaulis,M_PL_005,actinomorphic,1
Silene halli,M_PL_005,actinomorphic,1
Pentstemon glaber,M_PL_005,zygomorphic,49
Pentstemon gracilis,M_PL_005,zygomorphic,39
Monarda fistulosa,M_PL_005,zygomorphic,31
Penstemon secundiflorus,M_PL_005,zygomorphic,16
Pentstemon glaucus,M_PL_005,zygomorphic,12
Astragalus drummondi,M_PL_005,zygomorphic,11
Petalostemon purpureus,M_PL_005,zygomorphic,11
Castilleia miniata,M_PL_005,zygomorphic,10
Capnoides aureum,M_PL_005,zygomorphic,9
Penstemon halli,M_PL_005,zygomorphic,7
Penstemon unilateralis,M_PL_005,zygomorphic,7
Ibidium strictum,M_PL_005,zygomorphic,5
Linaria vulgaris,M_PL_005,zygomorphic,5
Thermopsis montana,M_PL_005,zygomorphic,5
Elephantella groenlandica,M_PL_005,zygomorphic,2
Pedicularis parryi,M_PL_005,zygomorphic,2
Pedicularis racemosa,M_PL_005,zygomorphic,2
Trifolium dasyphyllum,M_PL_005,zygomorphic,2
Lathyrus ornatus,M_PL_005,zygomorphic,1
Scutellaria resinosa,M_PL_005,zygomorphic,1
Leucanthemum vulgare,M_PL_006,actinomorphic,49
Hypochoeris radicata,M_PL_006,actinomorphic,15
Ranunculus acris,M_PL_006,actinomorphic,12
Achillea millefolium,M_PL_006,actinomorphic,6
Centaurea nigra,M_PL_006,actinomorphic,3
Lychnis flos-cuculi,M_PL_006,actinomorphic,1
Plantago lanceolata,M_PL_006,actinomorphic,2
Cirsium arvense,M_PL_006,actinomorphic,1
Taraxacum officinale,M_PL_006,actinomorphic,1
Lotus corniculatus,M_PL_006,zygomorphic,24
Lathyrus pratensis,M_PL_006,zygomorphic,6
Vicia cracca,M_PL_006,zygomorphic,9
Trifolium dubium,M_PL_006,zygomorphic,6
Prunella vulgaris,M_PL_006,zygomorphic,4
Trifolium repens,M_PL_006,zygomorphic,1
Vicia sativa,M_PL_006,zygomorphic,4
Trifolium pratense,M_PL_006,zygomorphic,2
Centaurea nigra,M_PL_007,actinomorphic,15
Leucanthemum vulgare,M_PL_007,actinomorphic,21
Cirsium palustre,M_PL_007,actinomorphic,4
Ranunculus acris,M_PL_007,actinomorphic,11
Cirsium arvense,M_PL_007,actinomorphic,5
Filipendula ulmaria,M_PL_007,actinomorphic,7
Galium verum,M_PL_007,actinomorphic,2
Hypochoeris radicata,M_PL_007,actinomorphic,4
Primula veris,M_PL_007,actinomorphic,4
Taraxacum officinale,M_PL_007,actinomorphic,3
Cerastium fontanum,M_PL_007,actinomorphic,1
Lotus corniculatus,M_PL_007,zygomorphic,2
Lathyrus pratensis,M_PL_007,zygomorphic,1
Orchis morio,M_PL_007,zygomorphic,3
Trifolium repens,M_PL_007,zygomorphic,1
Trifolium dubium,M_PL_007,zygomorphic,1
Echium wildpretii,M_PL_008,actinomorphic,18
Pimpinella cumbrae,M_PL_008,actinomorphic,14
Pterocephalus lasiospermus,M_PL_008,actinomorphic,14
Erysimum scoparium,M_PL_008,actinomorphic,10
Tolpis webbii,M_PL_008,actinomorphic,8
Argyranthemum teneriffae,M_PL_008,actinomorphic,7
Mentha longifolia,M_PL_008,zygomorphic,12
Spartocytisus supranubius,M_PL_008,zygomorphic,9
Scrophularia glabrata,M_PL_008,zygomorphic,7
Nepeta teydea,M_PL_008,zygomorphic,5
Adenocarpus viscosus,M_PL_008,zygomorphic,2
Dryas octopetala,M_PL_009,actinomorphic,28
Diapensia lapponica,M_PL_009,actinomorphic,25
Saxifraga aizoides,M_PL_009,actinomorphic,25
Potentilla crantzii,M_PL_009,actinomorphic,24
Silene acaulis,M_PL_009,actinomorphic,15
Cerastium alpinum,M_PL_009,actinomorphic,14
Parnassia palustris,M_PL_009,actinomorphic,13
Polygonum viviparum,M_PL_009,actinomorphic,13
Salix lanata,M_PL_009,actinomorphic,9
Salix reticulata,M_PL_009,actinomorphic,8
Saxifraga oppositifolia,M_PL_009,actinomorphic,8
Trollius europaeus,M_PL_009,actinomorphic,8
Rhodiola rosea,M_PL_009,actinomorphic,6
Rhododendron lapponicum,M_PL_009,actinomorphic,5
Taraxacum officinale,M_PL_009,actinomorphic,5
Antennaria alpina,M_PL_009,actinomorphic,4
Arabis alpina,M_PL_009,actinomorphic,4
Cassiope tetragona,M_PL_009,actinomorphic,4
Salix polaris,M_PL_009,actinomorphic,3
Cassiope hypnoides,M_PL_009,actinomorphic,2
Viola biflora,M_PL_009,zygomorphic,8
Pinguicula alpina,M_PL_009,zygomorphic,6
Astragalus alpinus,M_PL_009,zygomorphic,4
Bartsia alpina,M_PL_009,zygomorphic,1
Dryas octopetala,M_PL_010,actinomorphic,32
Saxifraga oppositifolia,M_PL_010,actinomorphic,29
Salix arctica,M_PL_010,actinomorphic,28
Potentilla rubricaulis,M_PL_010,actinomorphic,26
Saxifraga caespitosa,M_PL_010,actinomorphic,25
Polygonum viviparum,M_PL_010,actinomorphic,23
Silene acaulis,M_PL_010,actinomorphic,23
Cerastium arcticum,M_PL_010,actinomorphic,20
Papaver radicatum,M_PL_010,actinomorphic,19
Potentilla hyparctica,M_PL_010,actinomorphic,17
Cassiope tetragona,M_PL_010,actinomorphic,16
Saxifraga nivalis,M_PL_010,actinomorphic,16
Arnica angustifolia,M_PL_010,actinomorphic,15
Arenaria pseudofrigida,M_PL_010,actinomorphic,14
Melandrium triflorum,M_PL_010,actinomorphic,14
Saxifraga cernua,M_PL_010,actinomorphic,13
Ranunculus sulphureus,M_PL_010,actinomorphic,12
Cochlearia groenlandica,M_PL_010,actinomorphic,11
Stellaria longipes,M_PL_010,actinomorphic,11
Epilobium latifolium,M_PL_010,actinomorphic,10
Rhododendron lapponicum,M_PL_010,actinomorphic,10
Taraxacum phymatocarpum,M_PL_010,actinomorphic,10
Armeria scabra,M_PL_010,actinomorphic,9
Draba lactea,M_PL_010,actinomorphic,8
Vaccinium uliginosum,M_PL_010,actinomorphic,8
Saxifraga hirculus,M_PL_010,actinomorphic,7
Draba arctica,M_PL_010,actinomorphic,6
Erigeron compositus,M_PL_010,actinomorphic,6
Lesquerella arctica,M_PL_010,actinomorphic,6
Pedicularis hirsuta,M_PL_010,zygomorphic,9
Pedicularis flammea,M_PL_010,zygomorphic,3
Gastonia mauritiana,M_PL_011,actinomorphic,8
Pemphis acidula,M_PL_011,actinomorphic,6
Stachytapheta jamaicensis,M_PL_011,actinomorphic,6
Turnera angustifolia,M_PL_011,actinomorphic,5
Scaevola sericea,M_PL_011,actinomorphic,4
Thespesia populnea,M_PL_011,actinomorphic,4
Tourneortia argentea,M_PL_011,actinomorphic,4
Morinda citrifolia,M_PL_011,actinomorphic,3
Dracaena concinna,M_PL_011,actinomorphic,2
Hibiscus tiliaceus,M_PL_011,actinomorphic,2
Passiflora suberosa,M_PL_011,actinomorphic,2
Suriana maritima,M_PL_011,actinomorphic,2
Ipomoea macrantha,M_PL_011,actinomorphic,1
Leucaena leucocephala,M_PL_011,zygomorphic,3
Galactites tomentosa,M_PL_012,actinomorphic,19
Anacyclus radiatus,M_PL_012,actinomorphic,15
Andryala pinnatifida,M_PL_012,actinomorphic,13
Geranium canariense,M_PL_012,actinomorphic,11
Laurus azorica,M_PL_012,actinomorphic,10
Senecio steetzii,M_PL_012,actinomorphic,9
Sonchus cf. ortunoi,M_PL_012,actinomorphic,7
Echium plantagineum,M_PL_012,actinomorphic,6
Cistus monspeliensis,M_PL_012,actinomorphic,3
Raphanus raphanistrum,M_PL_012,actinomorphic,3
Ilex canarienis,M_PL_012,actinomorphic,2
Leontodon taraxacoides,M_PL_012,actinomorphic,2
Picconia excelsa,M_PL_012,actinomorphic,2
Ranunculus cortusaefolius,M_PL_012,actinomorphic,2
Sonchus tenerrimus,M_PL_012,actinomorphic,2
Ageretina adenophora,M_PL_012,actinomorphic,1
Aichryson laxum,M_PL_012,actinomorphic,1
Appolonias barbujana,M_PL_012,actinomorphic,1
Argyranthemum broussonetti,M_PL_012,actinomorphic,1
Carduus tenuiflorus,M_PL_012,actinomorphic,1
Erica arborea,M_PL_012,actinomorphic,1
Geranium robertianum,M_PL_012,actinomorphic,1
Hypericum grandifolium,M_PL_012,actinomorphic,1
Rhamnus glandulosa,M_PL_012,actinomorphic,1
Silene gallica,M_PL_012,actinomorphic,1
Cedronella canariensis,M_PL_012,zygomorphic,24
Adenocarpus foliosus,M_PL_012,zygomorphic,2
Viola riviniana,M_PL_012,zygomorphic,2
Psoralia bituminosa,M_PL_012,zygomorphic,1
Xysmalobium gerrardii,M_PL_013,actinomorphic,35
Sisyranthus trichostomus,M_PL_013,actinomorphic,12
Pachycarpus natalensis,M_PL_013,actinomorphic,13
Asclepias woodii,M_PL_013,actinomorphic,8
Miraglossum verticillare,M_PL_013,actinomorphic,8
Xysmalobium involucratum,M_PL_013,actinomorphic,15
Aspidonepsis diploglossa,M_PL_013,actinomorphic,7
Miraglossum pilosum,M_PL_013,actinomorphic,1
Asclepias cucullata,M_PL_013,actinomorphic,4
Dryas sp1 M_PL_014,M_PL_014,actinomorphic,40
Salix sp1 M_PL_014,M_PL_014,actinomorphic,27
Saxifraga oppositifolia,M_PL_014,actinomorphic,24
Potentilla sp1 M_PL_014,M_PL_014,actinomorphic,14
Lychnis triflora,M_PL_014,actinomorphic,8
Papaver sp1 M_PL_014,M_PL_014,actinomorphic,7
Stellaria sp1 M_PL_014,M_PL_014,actinomorphic,7
Epilobium sp1 M_PL_014,M_PL_014,actinomorphic,5
Lesquerella arctica,M_PL_014,actinomorphic,5
Cassiope tetragona,M_PL_014,actinomorphic,4
Cerastium alpinum,M_PL_014,actinomorphic,4
Erysimum sp1 M_PL_014,M_PL_014,actinomorphic,4
Saxifraga tricuspidata,M_PL_014,actinomorphic,4
Taraxacum sp1 M_PL_014,M_PL_014,actinomorphic,4
Arnica sp1 M_PL_014,M_PL_014,actinomorphic,3
Draba bellii,M_PL_014,actinomorphic,3
Saxifraga hirculus,M_PL_014,actinomorphic,3
Braya sp1 M_PL_014,M_PL_014,actinomorphic,2
Cerastium arcticum,M_PL_014,actinomorphic,1
Draba cinerea,M_PL_014,actinomorphic,1
Draba oblongata,M_PL_014,actinomorphic,1
Erigeron sp1 M_PL_014,M_PL_014,actinomorphic,1
Polygonum viviparum,M_PL_014,actinomorphic,1
Saxifraga cernua,M_PL_014,actinomorphic,1
Saxifraga flagellaris,M_PL_014,actinomorphic,1
Saxifraga sp1 M_PL_014,M_PL_014,actinomorphic,1
Silene sp1 M_PL_014,M_PL_014,actinomorphic,1
Pedicularis capitata,M_PL_014,zygomorphic,1
Pedicularis sp1 M_PL_014,M_PL_014,zygomorphic,1
Chrysanthemum coronarium,M_PL_015,actinomorphic,69
Chamomilla recutita,M_PL_015,actinomorphic,63
Hypochoeris achyrophorus,M_PL_015,actinomorphic,63
Thapsia garganica,M_PL_015,actinomorphic,62
Sisymbrium orientale,M_PL_015,actinomorphic,58
Calendula arvensis,M_PL_015,actinomorphic,55
Echium angustifolium,M_PL_015,actinomorphic,55
Asphodelus aestivus,M_PL_015,actinomorphic,54
Cardaria draba,M_PL_015,actinomorphic,53
Scandix australis,M_PL_015,actinomorphic,51
Euphorbia acanthothamnos,M_PL_015,actinomorphic,50
Hypericum triquetrifolium,M_PL_015,actinomorphic,50
Heliotropium hirsutissimum,M_PL_015,actinomorphic,49
Heliotropium dolosum,M_PL_015,actinomorphic,48
Thymelaea hirsuta,M_PL_015,actinomorphic,48
Cistus parviflorus,M_PL_015,actinomorphic,47
Centaurea orphanidea,M_PL_015,actinomorphic,45
Heliotropium europaeum,M_PL_015,actinomorphic,43
Reseda alba,M_PL_015,actinomorphic,43
Scabiosa atropurpurea,M_PL_015,actinomorphic,42
Echinops microcephalus,M_PL_015,actinomorphic,41
Tordylium apulum,M_PL_015,actinomorphic,41
Cistus salvifolius,M_PL_015,actinomorphic,39
Scorzonera cana,M_PL_015,actinomorphic,39
Ornithogalum exscapum,M_PL_015,actinomorphic,36
Erodium malacoides,M_PL_015,actinomorphic,35
Helichrysum stoechas,M_PL_015,actinomorphic,35
Fumana thymifolia,M_PL_015,actinomorphic,34
Convolvulus althaeoides,M_PL_015,actinomorphic,32
Crupina crupinastrum,M_PL_015,actinomorphic,32
Phagnalon graecum,M_PL_015,actinomorphic,32
Convolvulus cantabrica,M_PL_015,actinomorphic,31
Ecballium elaterium,M_PL_015,actinomorphic,31
Hirschfeldia incana,M_PL_015,actinomorphic,31
Gagea granatelli,M_PL_015,actinomorphic,28
Nigella arvensis,M_PL_015,actinomorphic,27
Ranunculus spruneranus,M_PL_015,actinomorphic,27
Urginea maritima,M_PL_015,actinomorphic,27
Eryngium campestre,M_PL_015,actinomorphic,25
Scilla autumnalis,M_PL_015,actinomorphic,25
Erodium cicutarium,M_PL_015,actinomorphic,24
Papaver rhoeas,M_PL_015,actinomorphic,24
Carduus pycnocephalus,M_PL_015,actinomorphic,22
Convolvulus arvensis,M_PL_015,actinomorphic,22
Sherardia arvensis,M_PL_015,actinomorphic,21
Alkanna tinctoria,M_PL_015,actinomorphic,20
Senecio vulgaris,M_PL_015,actinomorphic,20
Anchusa undulata,M_PL_015,actinomorphic,19
Anemone coronaria,M_PL_015,actinomorphic,19
Geranium rotundifolium,M_PL_015,actinomorphic,19
Bellis annua,M_PL_015,actinomorphic,18
Biscutella didyma,M_PL_015,actinomorphic,18
Capparis ovata,M_PL_015,actinomorphic,18
Cyclamen graecum,M_PL_015,actinomorphic,18
Muscari comosum,M_PL_015,actinomorphic,18
Muscari neglectum,M_PL_015,actinomorphic,18
Osyris alba,M_PL_015,actinomorphic,18
Scorzonera lanata,M_PL_015,actinomorphic,18
Verbascum undulatum,M_PL_015,actinomorphic,18
Erica manipuliflora,M_PL_015,actinomorphic,17
Hypericum empetrifolium,M_PL_015,actinomorphic,15
Taraxacum officinale,M_PL_015,actinomorphic,15
Allium subhirsutum,M_PL_015,actinomorphic,14
Crocus cancellatus,M_PL_015,actinomorphic,14
Daucus guttatus,M_PL_015,actinomorphic,14
Dittrichia graveolens,M_PL_015,actinomorphic,14
Muscari commutatum,M_PL_015,actinomorphic,14
Plantago lagopus,M_PL_015,actinomorphic,14
Chondrilla juncea,M_PL_015,actinomorphic,13
Eruca vesicaria,M_PL_015,actinomorphic,13
Pallenis spinosa,M_PL_015,actinomorphic,13
Reichardia picroides,M_PL_015,actinomorphic,13
Delphinium peregrinum,M_PL_015,actinomorphic,12
Crocus laevigatus,M_PL_015,actinomorphic,11
Fumana arabica,M_PL_015,actinomorphic,11
Scolymus hispanicus,M_PL_015,actinomorphic,11
Allium neapolitanum,M_PL_015,actinomorphic,10
